Sentence ID,Quality,Remarks,Raw Sentence,Annotated Sentence
HF002_6_12,4,<wrong symbol>,पाकिस्तान के शहर कराची मे पुलिस का कहना है के मेसदोनिया के आॅनरी काॅनसिल के दफ्तर मे एक बाॅम्ब के धमाके मे तीन लोग मारे गए है पुलिस ने बताया के ये लाशें मलबे तले दबी हुई थी और मरने वाले सभी पाकिस्तानी थे और हो सकता है के उन्हे धमाके से पहले बांध कर मार भी दिया गया हो ।                ,पाकिस्तान के शहर कराची मे पुलिस का कहना है के मेसदोनिया के ऑनरी  काॅनसिल के दफ्तर मे एक बाॅम्ब के धमाके मे तीन लोग मारे गए है पुलिस ने बताया के ये लाशें मलबे तले दबी हुई थी और मरने वाले सभी पाकिस्तानी थे और हो सकता है के उन्हे धमाके से पहले बांध कर मार भी दिया गया हो ।                
HF002_6_13,5,,डाक्टर ने बताया के उनमे से दो की शहरत कटी हुई थी ।                                                                ,डाक्टर ने बताया के उनमे से दो की शहरत कटी हुई थी ।                                                                
HF002_6_14,4,<missing aux>,अभी तक ये पता नही चल सका के इस हमले के पीछे किस का हाथ था ।                                                            ,अभी तक ये पता नही चल सका के इस हमले के पीछे किस का हाथ था ।                                                            
HF002_6_15,4,<missing aux>,अफ्गानिस्तान मे पुलिस फोर्स को ईद उल फितर की तकरीबार के मौके पर चौकस कर दिया गया है उन्हे खतरा है के तालिबान की बकिया रिजीम ईद के मौके पर फसादात करने की कोशिश करेंगे ।                                         ,अफ्गानिस्तान मे पुलिस फोर्स को ईद उल फितर की तकरीबार के मौके पर चौकस कर दिया गया है उन्हे खतरा है के तालिबान की बकिया रिजीम ईद के मौके पर फसादात करने की कोशिश करेंगे ।                                         
HF002_6_16,3,<missing aux><wrong plural>,अफ्गानिस्तान के इंटिरियर मिनिस्टर ने बताया के काबुल की एक नुमाया मस्जीद से गोला बारुद का सामान बरामत किया गया जहां एक हज़ार से ज़्यादा लोग ईद की नमाज़ पड़ने के लिए इक्ठ्ठे हुए थे ।                                         ,अफ्गानिस्तान के इंटिरियर मिनिस्टर ने बताया के काबुल की एक नुमाया मस्जीद से गोला बारुद का सामान बरामत किया गया जहां एक हज़ार से ज़्यादा लोग ईद की नमाज़ पड़ने के लिए इक्ठ्ठे हुए थे ।                                         
HF002_6_17,4,<code mixing>,काबुल की सिक्युरिटी की चीफ ने बताया के हिफाज़त के लिए गश्त करने वाली पुलिस की तादाद पाँच गुना तक बड़ा दी गई है ।                                                    ,काबुल की सिक्युरिटी की चीफ ने बताया के हिफाज़त के लिए गश्त करने वाली पुलिस की तादाद पाँच गुना तक बड़ा दी गई है ।                                                    
HF002_6_18,4,<code mixing>,ये खबरें आप बी बी सी एशियन नेटवर्क से आईशा एहमद की ज़बानी सुन रहे हैं ।                                                            ,ये खबरें आप बी बी सी एशियन नेटवर्क से आईशा एहमद की ज़बानी सुन रहे हैं ।                                                            
HF002_6_19,4,<code mixing>,युनाईटेड स्टेट्स के प्रेसीडेंट जार्ज बुश ने अफ्गानिस्तान पर अगले चार सालों मे तीन बिलियन डालर्स खर्च करने के एक बिल पर दस्तखत किये हैं ।                                                   ,युनाईटेड स्टेट्स के प्रेसीडेंट जार्ज बुश ने अफ्गानिस्तान पर अगले चार सालों मे तीन बिलियन डालर्स खर्च करने के एक बिल पर दस्तखत किये हैं ।                                                   
HF002_6_20,4,<code mixing>,वाईट हाऊस ने बताया की ये रक्म मुल्क की मिलिटरी और दुसरी ईकोनोमि को बहाल करने के काम आएगी ।                                                         ,वाईट हाऊस ने बताया की ये रक्म मुल्क की मिलिटरी और दुसरी ईकोनोमि को बहाल करने के काम आएगी ।                                                         
HF002_6_21,3,<additon of case><code mixing>,युनाईटेड नेशन की सिक्युरिटी काॅनसिल ने ईराक के लिए तेल के बदले खाने के प्रोग्राम को अगले छः महिनों तक बड़ा दिया है और बग़दाद की ज़रुरत वाली चीज़ो की दरामत के बारे मे भी सोच ने का वादा किया हैं याद रहे के इस प्रोग्राम को हर छः महीने के बाद रिन्यु किया जाता हैं लेकिन वाशिंगटन इस बात पर ज़ोर दे रहा था के छः महीने के इस अरसे को कम कर देना चाहिए ।,युनाईटेड नेशन की सिक्युरिटी काॅनसिल ने ईराक के लिए तेल के बदले खाने के प्रोग्राम को अगले छः महिनों तक बड़ा दिया है और बग़दाद की ज़रुरत वाली चीज़ो की दरामत के बारे मे भी सोच ने का वादा किया हैं याद रहे के इस प्रोग्राम को हर छः महीने के बाद रिन्यु किया जाता हैं लेकिन वाशिंगटन इस बात पर ज़ोर दे रहा था के छः महीने के इस अरसे को कम कर देना चाहिए ।
HF002_6_22,2,<code mixing><<wrong verb>,इंडोनेशिया मे बाली के नाईट कल्ब पर हमले की तहकीक करने वाली पुलिस का कहना है की इस सिलसिले मे इसी हफ्ते गिरफ्तार किये जाने वाले आदमी ने उस हमले मे शामिल होने का इलज़ाम कुबुल कर लिया है उनका कहना है के मुखलास नामी इस मशकुक आदमी ने ये मान लिया है की वो इस हमले के सिलसिले मे की जाने वाली मिटिंग्स मे शामिल हुआ था ।        ,इंडोनेशिया मे बाली के नाईट कल्ब पर हमले की तहकीक करने वाली पुलिस का कहना है की इस सिलसिले मे इसी हफ्ते गिरफ्तार किये जाने वाले आदमी ने उस हमले मे शामिल होने का इलज़ाम कुबुल कर लिया है उनका कहना है के मुखलास नामी इस मशकुक आदमी ने ये मान लिया है की वो इस हमले के सिलसिले मे की जाने वाली मिटिंग्स मे शामिल हुआ था ।        
HF002_6_23,4,<code mixing>,पुलिस को शुबा है की मुखलास को हाल ही मे इसलामी तनज़ीम जामिया इसलामीया का रिजनल चीफ मुकर्रर किया गया था ।                                                       ,पुलिस को शुबा है की मुखलास को हाल ही मे इसलामी तनज़ीम जामिया इसलामीया का रिजनल चीफ मुकर्रर किया गया था ।                                                       
HF002_6_24,4,<code mixing>,याद रहे के इस तनज़ीम के बारे मे युनाईटेड स्टेट्स का कहना है की इस का तालुक अलकायदा की तनज़ीम के साथ है ।                                                     ,याद रहे के इस तनज़ीम के बारे मे युनाईटेड स्टेट्स का कहना है की इस का तालुक अलकायदा की तनज़ीम के साथ है ।                                                     
HF002_6_25,4,<code mixing>,श्रीलंका की हुकुमत और तमिल टायगर्स के बागियों के नुमाईंदो का कहना है के उन्होने अपनी ज़िम्मेदारियों और इखतेयारात को बाँटने के सिलसिले मे एक समझोता कर लिया है नामा निगारों का कहना है के इस समझोतें से मुल्क मे होने वाली सिविल वार को खत्म करने के सिलसिले मे जो बातचीत हो रही हैं उसे तकवीयत मिलेगी ।                  ,श्रीलंका की हुकुमत और तमिल टायगर्स के बागियों के नुमाईंदो का कहना है के उन्होने अपनी ज़िम्मेदारियों और इखतेयारात को बाँटने के सिलसिले मे एक समझोता कर लिया है नामा निगारों का कहना है के इस समझोतें से मुल्क मे होने वाली सिविल वार को खत्म करने के सिलसिले मे जो बातचीत हो रही हैं उसे तकवीयत मिलेगी ।                  
HF002_6_26,5,,याद रहे की इस जंग मे साठ हज़ार से ज़्यादा लोग मारे गए हैं ।                                                              ,याद रहे की इस जंग मे साठ हज़ार से ज़्यादा लोग मारे गए हैं ।                                                              
HF002_6_27,3,<code switching><code mixing><wrong symbol>,इंडिया की हुकुमत ने इंडिया और पाकिस्तान के ज़ेरे इंतज़ाम कश्मीर को अलाहिदा करने वाली लाईन आॅफ कन्ट्रोल के करीब कारगील के पहाड़ो पर दुसरे मुल्को के एक्सपीडिशन पर लगाई जाने वाली पाबंदियों को हटा दिया हैं याद रहे के ये पाबंदी पिछले साल उस वक्त लगाई गई थी जब दोनो मुल्कों की फौजें उस ईलाके के बारे मे लड़ रही थी जो इंडिया के कहने के मुताबिक उन का था ।     ,इंडिया की हुकुमत ने इंडिया और पाकिस्तान के ज़ेरे इंतज़ाम कश्मीर को अलाहिदा करने वाली लाईन ऑफ़ कन्ट्रोल के करीब कारगील के पहाड़ो पर दुसरे मुल्को के एक्सपीडिशन पर लगाई जाने वाली पाबंदियों को हटा दिया हैं याद रहे के ये पाबंदी पिछले साल उस वक्त लगाई गई थी जब दोनो मुल्कों की फौजें उस ईलाके के बारे मे लड़ रही थी जो इंडिया के कहने के मुताबिक उन का था ।     
HF002_6_28,3,<wrong gender>,हाल मे एक ऐसी आदमी के बुरी तरह ज़ख्मी होने की इत्तलाह मिली है जिसके बारे मे शुबा है के उस पर हमला नसली तफर्रके की वजह से किय गया था ।                                             ,हाल मे एक ऐसी आदमी के बुरी तरह ज़ख्मी होने की इत्तलाह मिली है जिसके बारे मे शुबा है के उस पर हमला नसली तफर्रके की वजह से किय गया था ।                                             
HF002_6_29,4,,बताया जाता है कि चौबीस साला ईराकी कर्ड को दो आदमियों के हमला करने के बाद चहरें पर बहुत सी चौटें लगी थी ।                                                     ,बताया जाता है कि चौबीस साला ईराकी कर्ड को दो आदमियों के हमला करने के बाद चहरें पर बहुत सी चौटें लगी थी ।                                                     
HF002_6_30,4,<reduplication>,और अब आखिर मे मौसम आज मुल्क के मरकज़ी और मशरिकी हिस्सों मे बादल छाए रहेंगे और कभी कभी बारिश के छिंटे भी पड़ सकते हैं लेकिन मुल्क के मग़रिबी हिस्सों मे आम तौर पर खुश्क मौसम खुश्क और खुश गवार रहेगा ।                                  ,और अब आखिर मे मौसम आज मुल्क के मरकज़ी और मशरिकी हिस्सों मे बादल छाए रहेंगे और कभी कभी बारिश के छिंटे भी पड़ सकते हैं लेकिन मुल्क के मग़रिबी हिस्सों मे आम तौर पर खुश्क मौसम खुश्क और खुश गवार रहेगा ।                                  
HF002_6_31,4,<code mixing>,इसी के साथ बी बी सी एशियन नेटवर्क से खबरें खत्म हुई ।                                                                ,इसी के साथ बी बी सी एशियन नेटवर्क से खबरें खत्म हुई ।                                                                
HF001_7_1,4,<code mixing><missing aux>,तीन बजने मे तेईस मिनट बाकी हैं ए एम रेडियो और डिजिटल सेटेलाईट चेनल आठ सौ उनहत्तर पर ये बी बी सी एशियन नेटवर्क है चार बजे की खबरों के बाद ड्राईव समीना अली खान के साथ याद रहे ड्राईव मे छः से ले के आठ बजे तक ईद स्पेशल प्रोग्राम नवीद अखतर के साथ पैश करेंगी समीना अली खान ।                ,तीन बजने मे तेईस मिनट बाकी हैं ए एम रेडियो और डिजिटल सेटेलाईट चेनल आठ सौ उनहत्तर पर ये बी बी सी एशियन नेटवर्क है चार बजे की खबरों के बाद ड्राईव समीना अली खान के साथ याद रहे ड्राईव मे छः से ले के आठ बजे तक ईद स्पेशल प्रोग्राम नवीद अखतर के साथ पैश करेंगी समीना अली खान ।                
HF001_7_2,4,<missing aux>,और आठ से दस हिन्दी उर्दु प्रोग्राम संजय शर्मा पैश करेंगे और दस से बारह बजे तक आदिल रे के साथ ।                                                       ,और आठ से दस हिन्दी उर्दु प्रोग्राम संजय शर्मा पैश करेंगे और दस से बारह बजे तक आदिल रे के साथ ।                                                       
HF001_7_3,4,<reduplication>,द्विया जी आपने एक्सब्रीक से याद फरमाया है याद आवरी के लिए बहुत बहुत शुक्रिया वुलवाहेम्टन से रफीक साहब आप ने ईद की मुबारक बाद तमाम सुनने वालो को दी हैं ।                                             ,द्विया जी आपने एक्सब्रीक से याद फरमाया है याद आवरी के लिए बहुत बहुत शुक्रिया वुलवाहेम्टन से रफीक साहब आप ने ईद की मुबारक बाद तमाम सुनने वालो को दी हैं ।                                             
HF001_7_4,4,<reduplication><<missing aux>,सतवंत बहन जी और आनंद वीर जी आप ने वुलवाहेम्टन से याद फरमाया है तमाम सुनने वालो को ईद मुबारक कहा है अगला नगमा आप के नाम करते है और बक्शो बहन जी आपने याद फरमाया बहुत बहुत ईद की मुबारक बाद दे रही है और ये नग़मा आप सब के नाम ।                        ,सतवंत बहन जी और आनंद वीर जी आप ने वुलवाहेम्टन से याद फरमाया है तमाम सुनने वालो को ईद मुबारक कहा है अगला नगमा आप के नाम करते है और बक्शो बहन जी आपने याद फरमाया बहुत बहुत ईद की मुबारक बाद दे रही है और ये नग़मा आप सब के नाम ।                        
HF001_8_1,2,<wrong case><reduplication><code mixing>,लता मंगेशकर और मोहम्मद रफी को आवाज़े और फेक्स मेसेज कहते है बहुत बहुत शुक्रिया आप का टेक्स्ट मेसेज के लिए और बाबर भट्ट आप का फेक्स मेसेज है की बहुत बहुत शुक्रिया बाबर भट्ट आप का और सोन परी जी आप का फेक्स मेसेज मिला है ईद मुबारक हमे दे रही हैं ।                       ,लता मंगेशकर और मोहम्मद रफी को आवाज़े और फेक्स मेसेज कहते है बहुत बहुत शुक्रिया आप का टेक्स्ट मेसेज के लिए और बाबर भट्ट आप का फेक्स मेसेज है की बहुत बहुत शुक्रिया बाबर भट्ट आप का और सोन परी जी आप का फेक्स मेसेज मिला है ईद मुबारक हमे दे रही हैं ।                       
HF001_8_2,4,<reduplication><code mixing>,और कहती हैं बहुत बहुत शुक्रिया सोन परी जी आप के फेक्स मेसेज का और उम्मीद करती हुं की आप कि दीदी जिजु फरिदा बाय जी सुन रही होंगी ।                                               ,और कहती हैं बहुत बहुत शुक्रिया सोन परी जी आप के फेक्स मेसेज का और उम्मीद करती हुं की आप कि दीदी जिजु फरिदा बाय जी सुन रही होंगी ।                                               
HF001_8_3,4,,मोहम्मद आरिफ साहब स्मोहिल से आपने याद फरमाया हैं ईद मुबारक कह रहे हैं तमाम सुनने वालों को और इसी के साथ कामरान इकबाल सादिया आयुश और सारिश को जनाब दिल की गहराई से शुक्रिया अदा करते हैं और ये नग़मा आप सब के नाम ।                               ,मोहम्मद आरिफ साहब स्मोहिल से आपने याद फरमाया हैं ईद मुबारक कह रहे हैं तमाम सुनने वालों को और इसी के साथ कामरान इकबाल सादिया आयुश और सारिश को जनाब दिल की गहराई से शुक्रिया अदा करते हैं और ये नग़मा आप सब के नाम ।                               
HF001_8_4,3,<wrong pronunciation>,सोन परी जी थोड़ा सा इंतज़ार करें आप की और से नग़मा कुछ ही देर मे ।                                                            ,सोन परी जी थोड़ा सा इंतज़ार करें आप की ओर से नग़मा कुछ ही देर मे ।                                                            
HF001_9_1,4,<missing aux>,ये आवाज़ कुमार शानु की ।                                                                       ,ये आवाज़ कुमार शानु की ।                                                                       
HF001_9_2,3,<missing prononun>,तीन बजने मे तेराह मिनट बाकी है ईद मना रहे हैं दिल की गहराई से आप को ईद मुबारक कहते हैं ।                                                       ,तीन बजने मे तेराह मिनट बाकी है ईद मना रहे हैं दिल की गहराई से आप को ईद मुबारक कहते हैं ।                                                       
HF001_9_3,3,<wrong pronunciation>,आईये एक साथ मिलकर ईद मनाए और अगला नग़मा सोन परी जी आप की और से आपकी दीदी जीजु और फरिदा बाजी के नाम ।                                                    ,आईये एक साथ मिलकर ईद मनाए और अगला नग़मा सोन परी जी आप की ओर से आपकी दीदी जीजु और फरिदा बाजी के नाम ।                                                    
HF001_9_4,4,,वेलिनबरो से रेमश सुन्दरम् साहब आप ने याद फरमाया है तमामा सुनने वालो को ईद मुबारक कह रहे हैं ।                                                         ,वेलिनबरो से रेमश सुन्दरम् साहब आप ने याद फरमाया है तमाम सुनने वालो को ईद मुबारक कह रहे हैं ।                                                         
HF001_9_5,4,<reduplication>,जनाब बहुत बहुत शुक्रिया और लेस्टर से मिसेस लिटा आप ने याद फरमया है                                                               ,जनाब बहुत बहुत शुक्रिया और लेस्टर से मिसेस लिटा आप ने याद फरमया है                                                               
HF001_10_1,4,<reduplication>,बाबर साहब बरमिंघम से आप का नाम सुनने वालों को ईद मुबारक कह रहे हैं जनाब बहुत बहुत शुक्रिया और अली साहब बरमिंघम से आप ने याद फरमाया है तमाम सुनने वालों को ईद मुबारक कह रही हैं ।                                      ,बाबर साहब बरमिंघम से आप का नाम सुनने वालों को ईद मुबारक कह रहे हैं जनाब बहुत बहुत शुक्रिया और अली साहब बरमिंघम से आप ने याद फरमाया है तमाम सुनने वालों को ईद मुबारक कह रही हैं ।                                      
